,UGRD,VGRD,month
0,0.23835104703903198,-0.24539747834205627,2023-08
0,-1.0495223999023438,-0.46166837215423584,2023-09
0,-1.162169098854065,-0.6489591598510742,2023-10
0,-0.9250195622444153,-1.0678356885910034,2023-11
0,-0.5340301990509033,-0.5855376720428467,2023-12
0,-0.8144111037254333,-0.47223329544067383,2024-01
0,0.21790918707847595,0.519180417060852,2024-02
0,-0.8832372426986694,0.3359280526638031,2024-03
0,-0.5558778643608093,1.3210010528564453,2024-04
0,-0.7214089035987854,1.8047798871994019,2024-05
0,-0.6347362995147705,0.37052521109580994,2024-06
0,0.20062728226184845,0.5789504051208496,2024-07
0,-1.0049967765808105,-0.5928819179534912,2024-08
0,-0.698916494846344,-0.9362647533416748,2024-09
0,-1.4679491519927979,-0.8692683577537537,2024-10
0,-1.3119587898254395,-0.26926204562187195,2024-11
0,-0.9449087381362915,-0.13690447807312012,2024-12
0,-0.5165509581565857,-0.9609530568122864,2025-01
0,-0.36107176542282104,-0.30359646677970886,2025-02
0,0.3784773647785187,1.185178279876709,2025-03
0,-0.5065853595733643,2.1356911659240723,2025-04
0,0.009690581820905209,1.2653385400772095,2025-05
0,-0.04139043390750885,1.142445683479309,2025-06
